27,2,휴업,2,휴업,2020-08-01,2022-09-30,032-560-9593,,인천광역시 서구 백석동 58 수도권매립지공사 21동,"인천광역시 서구 거월로 61, 수도권매립지공사 21동 (백석동)",22688,드림파크 스포츠센터,,
28,2,휴업,2,휴업,2022-03-24,2027-03-23,,,경기도 광주시 곤지암읍 곤지암리 26-1,경기도 광주시 곤지암읍 경충대로 451,12812,중부수영장,231413.2634,426069.6699
29,2,휴업,2,휴업,2008-10-31,2009-12-31,574-0008,472-833,경기도 남양주시 진건읍 용정리 778-9번지,경기도 남양주시 진건읍 진건오남로 71,,수정스포트센터,215624.213,461641.5446
30,2,휴업,2,휴업,2010-09-01,2011-08-31,,472-848,경기도 남양주시 화도읍 창현리 551-1번지,경기도 남양주시 화도읍 창현로 33,472-848,웰스포 스포츠센터,226963.5802,460670.5826
31,2,휴업,2,휴업,2020-10-20,2021-05-31,02-899-3382,,경기도 광명시 소하동 1267 광명시여성비전센터,"경기도 광명시 오리로366번길 6, 광명시여성비전센터 (소하동)",14327,광명시여성비전센터 수영장,189326.8187,436974.6349
32,2,휴업,2,휴업,2022-08-04,2022-12-31,727-4680,,경기도 성남시 분당구 정자동 206 한국통신사옥 지하2층,"경기도 성남시 분당구 불정로 90, 지하2층 (정자동, KT본사)",13606,(재)케이티그룹희망나눔재단 KT스포츠센터,210101.9492,428543.9071
33,2,휴업,2,휴업,2023-06-30,2024-06-29,,,제주특별자치도 서귀포시 성산읍 고성리 1201 디아일랜드 마리나 호텔,"제주특별자치도 서귀포시 성산읍 고성오조로 94, 디아일랜드 마리나 호텔",63639,블루라곤 실내수영장,191979.0378,-4921.826108
34,2,휴업,2,휴업,2022-01-01,2025-02-28,3019-8132,137-825,서울특별시 서초구 방배동 630,서울특별시 서초구 남부순환로 2248 (방배동),,서울특별시교육청 교육연수원,199693.07,441141.6101
35,2,휴업,2,휴업,2018-05-28,2021-05-27,352-7151,445-965,경기도 화성시 정남면 괘랑리 산 60-47,,,라비돌수영장,,
36,2,휴업,2,휴업,2023-06-26,2024-06-25,032-545-3700,407-050,인천광역시 계양구 계산동 산 55-1,인천광역시 계양구 경명대로972번길 18 (계산동),,계산수영장,174449.9018,449155.4099
37,2,휴업,2,휴업,2002-07-01,,032-548-4232,407-805,인천광역시 계양구 계산동 926-27번지 지하3층,인천광역시 계양구 하느재로 14 (계산동),407-805,새나드리프라자수영장,175658.2683,449209.1495
38,2,휴업,2,휴업,2013-01-01,2013-12-31,063)466-6277,573-872,전북특별자치도 군산시 나운동 866-1,전북특별자치도 군산시 부곡1길 39  (나운동),,파라디수영장,171891.3344,273322.5025
39,2,휴업,2,휴업,1997-07-14,1998-07-15,,570-996,전북특별자치도 익산시 팔봉동 58-3,,,팔봉수영장,,
40,2,휴업,2,휴업,2005-02-22,2005-06-22,277-8001-3,680-806,울산광역시 남구 무거동 299-10번지,울산광역시 남구 북부순환도로 17  (무거동),,남운스포렉스,405350.0267,230358.1365
41,2,휴업,2,휴업,2021-01-19,2023-12-31,230-2181,682-808,울산광역시 동구 서부동 257-44,울산광역시 동구 방어진순환도로 995-2 (서부동),44025,서부회관수영장,420434.8668,228254.1727
42,2,휴업,2,휴업,,,,376-852,충청북도 보은군 마로면 임곡리 386-27번지,충청북도 보은군 마로면 임곡길 66-80,28964,서당골관광농원,277207.6871,325803.5691
43,2,휴업,2,휴업,1998-08-24,1999-07-01,900-8181,142-090,서울특별시 강북구 우이동 산 196-197번지,,,(주)호텔그린파크수영장,,
44,2,휴업,2,휴업,2014-08-08,2015-08-08,287-5757,361-822,충청북도 청주시 서원구 분평동 343-23번지 6층,"충청북도 청주시 서원구 청남로2005번길 100  (분평동,6층)",,청주온천스파피아수영장,242786.536,345504.1554
45,2,휴업,2,휴업,2023-02-14,2024-02-28,032-677-1177,,경기도 부천시 오정구 고강동 369,경기도 부천시 오정구 고리울로 9 (고강동),14408,파라디스포츠,183760.2282,447328.4238
46,2,휴업,2,휴업,2021-08-02,2022-08-01,041-544-2155,336-812,충청남도 아산시 염치읍 동정리 4-1,충청남도 아산시 염치읍 충무로 547,,(주)훼미리랜드,200765.7578,369534.4096
47,2,휴업,2,휴업,2022-05-01,2023-12-31,537-3913,336-070,충청남도 아산시 방축동 22-5,충청남도 아산시 신정로 685 (방축동),,아산시실내수영장,198569.2858,364138.8127
48,2,휴업,2,휴업,2020-02-01,2021-11-30,041--956-0367,325-813,충청남도 서천군 마서면 도삼리 71-10,충청남도 서천군 마서면 장산로855번길 20,,드림월드수영장,176103.9814,280023.4647
49,2,휴업,2,휴업,2019-01-01,2022-06-30,953-4888,325-814,충청남도 서천군 마서면 덕암리 527-2,충청남도 서천군 마서면 장서로 524,33655,덕암스파,173508.2184,283081.0277
50,2,휴업,2,휴업,2017-12-13,2018-12-13,,314-891,충청남도 공주시 유구읍 구계리 1-4번지,충청남도 공주시 유구읍 유구마곡사로 578,32520,석수풀장,199557.0935,340770.3784
51,2,휴업,2,휴업,1998-07-31,2000-07-31,731-4390,373-809,충청북도 옥천군 옥천읍 삼양리 222-375번지,충청북도 옥천군 옥천읍 삼양로 85,,세림스포츠센타,251030.2282,311606.4101
52,2,휴업,2,휴업,2012-07-19,2012-10-30,,467-866,경기도 이천시 부발읍 아미리 4-2번지,경기도 이천시 부발읍 황무로1756번길 46,,청암관광농원수영장,245631.0423,418484.5659
53,2,휴업,2,휴업,2023-10-10,2025-12-31,,,경기도 이천시 안흥동 408-1,경기도 이천시 중리천로115번길 45 (안흥동),17372,대지개발(주) 미란다호텔지점,239936.874,419420.2908
54,2,휴업,2,휴업,2023-05-25,2023-12-31,031-826-0081,482-813,경기도 양주시 장흥면 삼상리 130-1,경기도 양주시 장흥면 유원지로 25-14,11524,죠이 타운,194002.2591,466092.0242
55,2,휴업,2,휴업,2023-05-25,2023-12-31,031-855-3888,482-812,경기도 양주시 장흥면 일영리 44-6,경기도 양주시 장흥면 권율로 112,11520,뉴파라다이스풀장,195473.2846,469081.9892
56,2,휴업,2,휴업,2023-01-01,2023-12-31,031-828-9772,482-050,경기도 양주시 덕계동 755-2,경기도 양주시 평화로1475번길 623 (덕계동),11441,양주시청소년수련관수영장,202589.2108,479539.8746
57,2,휴업,2,휴업,2023-05-25,2023-12-31,031-826-1012,482-812,경기도 양주시 장흥면 부곡리 183,경기도 양주시 장흥면 가마골로 201,11521,송추워터피아,197864.2136,470387.1124
58,2,휴업,2,휴업,2019-04-15,2020-12-31,886-8100,469-832,경기도 여주시 금사면 하호리 345번지,,,이포리조트수영장,244472.305,432656.3498
59,2,휴업,2,휴업,2022-12-16,2023-12-16,031-338-2001,449-821,경기도 용인시 처인구 양지면 남곡리 47-2,경기도 용인시 처인구 양지면 남평로 112,17164,(주)양지리조트수영장(실외),226303.96,413049.4783
60,2,휴업,2,휴업,2023-07-16,2025-07-16,031-338-2001,449-821,경기도 용인시 처인구 양지면 남곡리 18-1,경기도 용인시 처인구 양지면 남평로 112,17164,스포렉스(양지리조트실내수영장),226308.2753,412120.9248
61,2,휴업,2,휴업,2020-07-01,2021-06-30,031-336-0504,449-833,경기도 용인시 처인구 이동읍 묵리 427-1,경기도 용인시 처인구 이동읍 이원로 495,17132,용인레저(실외),221263.8116,407295.0182
62,2,휴업,2,휴업,2022-12-12,2023-06-30,031-328-9871,,경기도 용인시 처인구 양지면 평창리 661-11,경기도 용인시 처인구 양지면 죽양대로2071번길 50 (용인청소년수련원),17163,용인시청소년수련원 수영장(용인시 청소년 미래재단 위탁),227730.8848,412621.7058
63,2,휴업,2,휴업,2012-07-06,2014-07-05,031)955-5152,413-832,경기도 파주시 문발동 503-1번지 달관동 지층9호,"경기도 파주시 문발로 234  (문발동,달관동 지층9호)",,해피아리조트,172440.2962,468107.1697
64,2,휴업,2,휴업,2018-01-26,2018-06-30,,,경상남도 하동군 옥종면 정수리 34번지 옥종불소유황천,"경상남도 하동군 옥종면 세종태실로 573, 옥종불소유황천",52315,옥종유황수영장,281219.4513,184583.6693
65,2,휴업,2,휴업,2023-01-01,2023-12-31,,,대전광역시 유성구 지족동 863-1,"대전광역시 유성구 노은동로240번길 56, 1층 (지족동)",34078,아쿠아 차일드,228687.1304,320281.1948
66,1,영업/정상,13,영업중,,,053-986-5012,,대구광역시 동구 방촌동 1047,"대구광역시 동구 동촌로 168 (방촌동, 대구동촌초등학교)",41159,동촌아쿠아수영장,349670.6697,265952.5268
67,1,영업/정상,13,영업중,,,053-572-2451,703-830,대구광역시 서구 이현동 48-8,대구광역시 서구 문화로 122 (이현동),41759,서구청소년수련관,339527.3355,264811.1141
68,1,영업/정상,13,영업중,,,042-820-0722,305-301,대전광역시 유성구 봉명동 443-1,대전광역시 유성구 온천로 9 (봉명동),34169,유성호텔실내수영장,230306.863,317342.3464
69,1,영업/정상,13,영업중,,,716-3000,,대전광역시 대덕구 목상동 871번지,대전광역시 대덕구 대덕대로1486번길 101 (목상동),34323,대덕국민체육센터수영장,236993.567,327258.245
70,1,영업/정상,13,영업중,,,,,대전광역시 대덕구 석봉동 780번지,대전광역시 대덕구 대덕대로1527번길 200 (석봉동),34304,금강로하스산호빛공원 야외수영장,237654.2792,328166.3294
71,1,영업/정상,13,영업중,,,626-7728,,대전광역시 대덕구 중리동 101-1 대덕구청소년어울림센터,"대전광역시 대덕구 쌍청당로 25, 대덕구청소년어울림센터 (중리동)",34411,대덕구청소년어울림센터수영장,238873.1545,318264.5808
72,1,영업/정상,13,영업중,,,637-9888,,대전광역시 대덕구 대화동 3-3번지,"대전광역시 대덕구 대화로 10 (대화동, 근로청소년회관)",34364,체육재활원수영장,237502.292,318686.0196
73,1,영업/정상,13,영업중,,,051-465-1152,601-829,부산광역시 동구 초량동 308-9,"부산광역시 동구 중앙대로231번길 29-1, 지하1층 (초량동)",48815,하나수영장,385839.8079,181797.1101
74,1,영업/정상,13,영업중,,,054-555-0001,,경상북도 문경시 호계면 호계리 23,경상북도 문경시 호계면 상무로 377,36930,성보촌야외수영장,306758.3234,350039.7722
75,1,영업/정상,13,영업중,,,041-631-6161,,충청남도 홍성군 홍성읍 대교리 626,충청남도 홍성군 홍성읍 의사로52번길 15-3,32219,서울스포렉스,170657.1979,344642.1855
76,1,영업/정상,13,영업중,,,041-736-3735,320-873,충청남도 논산시 연산면 송정리 126-6번지,충청남도 논산시 연산면 계백송정1길 49,,은하수 수영장,220557.0661,301663.6724
77,1,영업/정상,13,영업중,,,730-4295,320-020,충청남도 논산시 관촉동 329-2번지,충청남도 논산시 논산대로 382  (관촉동),,논산시공공시설사업소(논산국민체육센터),209316.7535,299551.8975
78,1,영업/정상,13,영업중,,,746-8401,320-904,충청남도 논산시 강경읍 산양리 240-6번지,충청남도 논산시 강경읍 동안로112번길 46,,강경실내수영장,201994.4957,294023.7603
79,1,영업/정상,13,영업중,,,041-529-5090,,충청남도 천안시 서북구 백석동 251번지 외17필지,"충청남도 천안시 서북구 번영로 208, 1층 (백석동, 종합운동장 천안국민체육센타)",31157,천안실내수영장,210178.8196,368635.0282
80,1,영업/정상,13,영업중,,,041-522-6720,,충청남도 천안시 동남구 신방동 1301번지 외 1필지,"충청남도 천안시 동남구 통정7길 6-6 (신방동, 수영장)",31208,경희대한얼수영장,211318.9403,363551.5854
